,Clones
781,UKG1502.024
782,UKG1506.055
783,UKG1501.020
784,UKG15OP09.001
785,UKG1506.046
786,UKG15OP07.016
787,UKG1506.047
788,UKG15OP07.032
789,UKG1506.026
790,UKG1501.010
791,UKG1501.022
792,UKG1510.002
793,UKG15OP07.040
794,UKG15OP07.041
795,UKG15OP07.023
796,UKG15OP07.061
797,UKG15OP07.050
798,UKG1506.008
799,UKG1506.002
800,UKG1503.004
801,UKG1506.007
802,UKG1501.028
803,UKG1506.027
804,UKG1506.039
805,UKG1506.051
806,UKG1502.012
807,UKG15OP07.028
808,UKG1510.003
809,UKG1511.003
810,UKG15OP07.042
811,UKG1506.012
812,UKG1506.003
813,UKG15OP07.038
814,UKG15OP07.012
815,UKG15OP07.037
816,UKG1506.049
817,UKG1511.004 
818,UKG1506.010 
819,UKG1502.005 
820,UKG1501.005
821,UKG1501.032
822,UKG1503.003 
823,UKG15OP07.034 
824,UKG15OP07.030 
825,UKG1510.001 
826,UKG1506.009 
827,UKG1503.009 
828,UKG1502.003
829,UKG1506.037
830,UKG1502.001
831,UKG1513.001
832,UKG15OP07.009 
833,UKG1506.017 
834,UKG1506.005
835,UKG15OP07.044 
836,UKG15OP07.046 
837,UKG1501.016
838,UKG15OP07.060 
839,UKG1501.003 
840,UKG1503.013
841,UKG1501.019 
842,UKG15OP07.056 
843,UKG1504.001
844,UKG1502.002
845,UKG15OP07.003
846,UKG1502.007 
847,UKG15OP07.002
848,UKG1503.016 
849,UKG12OP06.020
850,UKG12OP01.324
851,UKG1214.019
852,UKG12OP04.010
853,UKG12OP01.133
854,UKG12OP04.007
855,UKG12OP01.295
856,UKG1205.066
857,UKG1205.010
858,UKG12OP04.006
859,UKG12OP01.080
860,UKG12OP01.143
861,UKG1207.002
862,UKG12OP01.355
863,UKG1218.013
864,UKG12OP04.035
865,UKG12OP01.127
866,UKG12OP01.345
867,UKG12OP01.150
868,UKG1218.010
869,UKG12OP01.362
870,UKG12OP01.135
871,UKG12OP01.307
872,UKG12OP01.325
873,UKG1216.001
874,UKG1210.003
875,UKG12OP01.025
876,UKG1207.038
877,UKG12OP01.256
878,UKG12OP01.359
879,UKG12OP01.036
880,UKG12OP01.121
881,UKG12OP01.102
882,UKG12OP01.320
883,UKG12OP01.179
884,UKG1207.014
885,UKG12OP17.003
886,UKG12OP01.188
887,UKG1205.005
888,UKG12OP04.022
889,UKG1207.040
890,UKG1216.006
891,UKG1207.013
892,UKG12OP04.021
893,UKG1205.023
894,UKG12OP02.011
895,UKG12OP01.321
896,UKG12OP01.187
897,UKG1216.019
898,UKG1214.011
899,UKG12OP01.241
900,UKG12OP01.252
901,UKG1214.024
902,UKG1208.004
903,UKG12OP01.327
904,UKG12OP01.040
905,UKG12OP01.312
906,UKG12OP01.139
907,UKG12OP06.017
908,UKG12OP01.265
909,UKG1208.002
910,UKG1205.015
911,UKG1205.063
912,UKG12OP01.160
913,UKG12OP01.082
914,UKG1214.002
915,UKG12OP06.010
916,UKG12OP01.060
917,UKG12OP01.061
918,UKG12OP01.114
919,UKG1205.001
920,UKG12OP06.027
921,UKG12OP17.004
922,UKG1219.005
923,UKG1221.008
924,UKG1222.010
925,UKG1221.022
926,UKG1221.005
927,UKG1229.002
928,UKG1222.005
929,UKG12OP24.033
930,UKG1221.015
931,UKG12OP01.103
932,UKG12OP01.108
933,UKG12OP01.164
934,UKG12OP01.255
935,UKG12OP06.012
936,UKG1229.008
937,UKG12OP31.005
938,UKG1228.005
939,UKG1221.014
940,UKG1216.007
941,UKG1209.001
942,UKG12OP01.134
