"germplasmName","FullSampleName"
"TZKBH14FS1207","KBH2014_1207:CA8RLANXX:5:526085"
"TZKBH14FS1209","KBH2014_1209:CA8RLANXX:5:526060"
"TZKBH14FS1247","KBH2014_1247:CA8RLANXX:5:526062"
"TZKBH14FS1263","KBH2014_1263:CA8RLANXX:5:526084"
"TZKBH14FS1266","KBH2014_1266:CA8RLANXX:3:525880"
"TZKBH14FS1268","KBH2014_1268:CA8RLANXX:5:526120"
"TZKBH14FS1269","KBH2014_1269:CA8RLANXX:5:526061"
"TZKBH14FS1306","KBH2014_1306:CA8RLANXX:5:526063"
"TZKBH14FS1326","KBH2014_1326:CA8RLANXX:5:526146"
"TZKBH14FS1352","KBH2014_1352:CA8RLANXX:5:526100"
"TZKBH14FS1463","KBH2014_1463:CA8RLANXX:5:526133"
"TZKBH14FS1465","KBH2014_1465:CA8RLANXX:5:526098"
"TZKBH14FS1468","KBH2014_1468:CA8RLANXX:5:526076"
"TZKBH14FS236","KBH2014_236:CA8RLANXX:5:526096"
"TZKBH14FS244","KBH2014_244:CA8RLANXX:3:525879"
"TZKBH14FS809","KBH2014_809:CA8RLANXX:5:526123"
"TZKBH14FS932","KBH2014_932:CA8RLANXX:6:526154"
"TZKBH14FS934","KBH2014_934:CA8RLANXX:6:526206"
"TZKBH14FS935","KBH2014_935:CA8RLANXX:6:526225"
"TZKBH14HS005","KBH2014_005:CA8RLANXX:3:525913"
"TZKBH14HS019","KBH2014_019:CA8RLANXX:5:526054"
"TZKBH14HS025","KBH2014_025:CA8RLANXX:5:526077"
"TZKBH14HS029","KBH2014_029:CA8RLANXX:3:525915"
"TZKBH14HS031","KBH2014_031:CA8RLANXX:3:525902"
"TZKBH14HS032","KBH2014_032:CA8RLANXX:5:526109"
"TZKBH14HS033","KBH2014_033:CA93YANXX:4:525985"
"TZKBH14HS040","KBH2014_040:CA93YANXX:4:526044"
"TZKBH14HS043","KBH2014_043:CA8RLANXX:3:525914"
"TZKBH14HS054","KBH2014_054:CA8RLANXX:3:525951"
"TZKBH14HS065","KBH2014_065:CA8RLANXX:5:526066"
"TZKBH14HS071","KBH2014_071:CA93YANXX:4:526052"
"TZKBH14HS075","KBH2014_075:CA93YANXX:4:526003"
"TZKBH14HS086","KBH2014_086:CA93YANXX:4:525997"
"TZKBH14HS095","KBH2014_095:CA8RLANXX:3:525944"
"TZKBH14HS096","KBH2014_096:CA93YANXX:4:526020"
"TZKBH14HS1002","KBH2014_1002:CA93YANXX:4:526015"
"TZKBH14HS1004","KBH2014_1004:CA8RLANXX:3:525905"
"TZKBH14HS1007","KBH2014_1007:CA8RLANXX:5:526081"
"TZKBH14HS1013","KBH2014_1013:CA8RLANXX:5:526132"
"TZKBH14HS1014","KBH2014_1014:CA8RLANXX:3:525943"
"TZKBH14HS1015","KBH2014_1015:CA93YANXX:4:525998"
"TZKBH14HS102","KBH2014_102:CA93YANXX:4:525958"
"TZKBH14HS1022","KBH2014_1022:CA8RLANXX:5:526102"
"TZKBH14HS1029","KBH2014_1029:CA93YANXX:4:525963"
"TZKBH14HS1030","KBH2014_1030:CA8RLANXX:5:526104"
"TZKBH14HS1036","KBH2014_1036:CA8RLANXX:3:525890"
"TZKBH14HS1044","KBH2014_1044:CA8RLANXX:5:526116"
"TZKBH14HS1052","KBH2014_1052:CA8RLANXX:5:526079"
"TZKBH14HS1056","KBH2014_1056:CA8RLANXX:5:526144"
"TZKBH14HS1059","KBH2014_1059:CA93YANXX:4:526004"
"TZKBH14HS106","KBH2014_106:CA8RLANXX:5:526068"
"TZKBH14HS1073","KBH2014_1073:CA8RLANXX:3:525884"
"TZKBH14HS1077","KBH2014_1077:CA93YANXX:4:526040"
"TZKBH14HS1084","KBH2014_1084:CA8RLANXX:5:526056"
"TZKBH14HS1090","KBH2014_1090:CA93YANXX:4:526027"
"TZKBH14HS1094","KBH2014_1094:CA93YANXX:4:525989"
"TZKBH14HS1098","KBH2014_1098:CA8RLANXX:5:526055"
"TZKBH14HS1102","KBH2014_1102:CA93YANXX:4:525968"
"TZKBH14HS1104","KBH2014_1104:CA8RLANXX:5:526069"
"TZKBH14HS1114","KBH2014_1114:CA8RLANXX:5:526095"
"TZKBH14HS113","KBH2014_113:CA93YANXX:4:525959"
"TZKBH14HS1137","KBH2014_1137:CA8RLANXX:3:525892"
"TZKBH14HS1152","KBH2014_1152:CA8RLANXX:5:526078"
"TZKBH14HS1155","KBH2014_1155:CA8RLANXX:5:526114"
"TZKBH14HS1173","KBH2014_1173:CA8RLANXX:5:526091"
"TZKBH14HS1174","KBH2014_1174:CA8RLANXX:5:526115"
"TZKBH14HS1213","KBH2014_1213:CA8RLANXX:5:526073"
